date,mentions
2017-02-23,1
2017-04-17,1
2017-07-14,1
2017-08-24,1
2017-10-26,1
2018-02-09,1
2018-02-23,1
2018-04-04,1
2018-06-04,1
2018-08-23,1
2018-09-22,1
2019-04-03,1
2019-09-23,1
2019-12-11,1
2019-12-12,1
2019-12-13,1
2020-11-03,1
2020-11-10,1
2021-01-18,1
2021-04-05,2
2022-01-26,1
2022-03-24,1
2022-03-25,1
2022-04-12,1
2022-05-29,1
2022-06-29,1
2022-06-30,1
2022-07-03,1
2022-07-07,1
2022-07-18,1
2022-08-12,1
2022-08-24,1
2022-09-02,1
2022-09-28,1
2022-11-11,1
2022-11-17,1
2022-11-18,1
2022-11-24,1
2022-12-11,1
2022-12-31,1
2023-01-03,1
2023-02-09,1
2023-03-16,1
2023-03-17,1
2023-03-28,2
2023-03-29,1
2023-04-19,1
2023-04-24,1
2023-04-26,1
2023-05-07,1
2023-05-21,1
2023-07-11,1
2023-08-07,1
2023-08-24,2
2023-08-25,1
2023-09-18,1
2023-09-21,1
2023-10-16,1
2023-10-23,1
2023-11-07,1
2023-11-20,1
2023-12-03,1
2023-12-07,2
2024-01-10,1
2024-01-14,1
2024-02-13,1
2024-02-27,2
2024-03-04,1
2024-03-06,2
2024-03-13,1
2024-03-18,1
2024-03-22,1
2024-04-01,2
2024-04-02,1
2024-04-11,1
2024-04-20,1
2024-04-26,1
2024-05-13,1
2024-05-20,1
2024-05-26,1
2024-05-29,1
2024-06-03,1
2024-06-28,1
2024-07-03,1
2024-07-12,1
2024-07-22,1
2024-07-23,1
2024-08-01,1
2024-08-10,1
2024-08-22,1
2024-08-26,1
2024-08-27,1
2024-09-02,1
2024-09-04,1
2024-09-05,2
2024-09-25,3
2024-10-02,1
2024-10-07,1
2024-10-09,1
2024-10-13,1
2024-10-17,1
2024-10-18,1
2024-10-20,1
2024-10-21,3
2024-10-23,1
2024-10-26,1
2024-10-28,2
2024-10-29,2
2024-10-31,1
2024-11-01,1
2024-11-02,1
2024-11-07,3
2024-11-09,1
2024-11-11,1
2024-11-14,2
2024-11-15,1
2024-11-19,2
2024-11-20,3
2024-11-26,1
2024-11-28,2
2024-11-30,2
2024-12-07,1
2024-12-08,1
2024-12-09,2
2024-12-11,1
2024-12-12,1
2024-12-19,1
2024-12-20,2
2024-12-24,1
2024-12-25,1
2024-12-26,1
2024-12-27,1
2024-12-31,3
2025-01-01,1
2025-01-02,1
2025-01-06,1
2025-01-07,1
2025-01-11,1
2025-01-15,2
2025-01-20,1
2025-01-21,1
2025-01-22,4
2025-01-24,4
2025-01-26,1
2025-02-05,3
2025-02-08,2
2025-02-09,1
2025-02-12,3
2025-02-13,3
2025-02-14,1
2025-02-17,4
2025-02-18,4
2025-02-20,1
2025-02-21,3
2025-02-23,2
2025-02-24,5
2025-02-25,1
2025-02-26,3
2025-02-27,1
2025-02-28,1
2025-03-03,2
2025-03-04,14
2025-03-06,2
2025-03-09,1
2025-03-11,2
2025-03-12,3
2025-03-13,2
2025-03-14,1
2025-03-16,1
2025-03-18,1
2025-03-20,1
2025-03-21,2
2025-03-23,1
2025-03-24,1
2025-03-25,1
2025-03-26,1
2025-03-27,2
2025-03-28,1
2025-03-29,1
2025-03-30,1
2025-03-31,1
2025-04-01,2
2025-04-02,1
2025-04-03,2
2025-04-04,1
2025-04-05,1
2025-04-06,1
2025-04-07,2
2025-04-11,2
2025-04-12,1
2025-04-15,2
2025-04-17,4
2025-04-18,1
2025-04-21,1
2025-04-22,2
2025-04-23,2
2025-04-24,4
2025-04-25,1
2025-04-27,3
2025-04-28,5
2025-04-29,1
